POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,1,-0.9999990000010001,0.05882352595155729,17.0,52.94117647058824,27.976470588235294,9,16,1.5294117647058822,0,4.470588235294118
0,2,-0.99999950000025,0.040816325697626006,12.25,44.89795918367347,22.85918367346939,22,29,1.6122448979591837,1,4.836734693877551
0,0,0.0,0.0,6.0,33.33333333333333,15.733333333333333,2,3,1.3333333333333333,0,4.166666666666667
0,0,0.0,0.0,6.0,33.33333333333333,15.733333333333333,2,3,1.3333333333333333,0,4.166666666666667
2,0,0.99999950000025,0.24999996875000394,4.0,37.5,16.6,3,4,1.25,0,3.125
5,0,0.99999980000004,0.10638297645993668,23.5,31.914893617021278,22.165957446808513,15,27,1.4680851063829787,0,4.319148936170213
0,6,-0.9999998333333611,0.06315789407202217,23.75,38.94736842105263,25.078947368421055,37,47,1.5157894736842106,1,4.231578947368421
0,0,0.0,0.0,5.0,60.0,26.0,3,1,1.6,0,5.6
2,0,0.99999950000025,0.06666666444444451,10.0,36.666666666666664,18.666666666666668,11,17,1.4333333333333333,0,4.433333333333334
5,0,0.99999980000004,0.13157894390581729,12.666666666666666,47.368421052631575,24.014035087719297,18,25,1.5,1,4.5
1,0,0.9999990000010001,0.06666666222222252,3.75,40.0,17.5,6,8,1.3333333333333333,0,3.8
1,0,0.9999990000010001,0.05263157617728546,19.0,10.526315789473683,11.810526315789474,2,7,1.105263157894737,0,3.3157894736842106
2,1,0.33333322222225925,0.18749998828125072,8.0,43.75,20.700000000000003,7,11,1.5,0,4.5625
1,1,0.0,0.06451612695109267,10.333333333333334,29.03225806451613,15.746236559139787,9,17,1.4193548387096775,0,4.096774193548387
0,0,0.0,0.0,1.0,0.0,0.4,0,1,1.0,0,8.0
0,0,0.0,0.0,14.0,50.0,25.6,7,8,1.5714285714285714,0,4.857142857142857
0,0,0.0,0.0,14.0,50.0,25.6,7,10,1.9285714285714286,0,5.571428571428571
2,1,0.33333322222225925,0.299999970000003,10.0,70.0,32.0,7,7,2.0,0,5.5
1,0,0.9999990000010001,0.499999750000125,2.0,50.0,20.8,1,2,1.5,0,5.5
0,1,-0.9999990000010001,0.24999993750001562,4.0,100.0,41.6,4,4,2.25,0,5.75
4,4,0.0,0.12499999804687503,64.0,35.9375,39.975,23,38,1.5625,1,4.515625
1,0,0.9999990000010001,0.199999960000008,5.0,40.0,18.0,2,3,1.4,0,4.4
1,2,-0.33333322222225925,0.0769230749506904,19.5,41.02564102564102,24.21025641025641,16,23,1.564102564102564,0,4.743589743589744
1,1,0.0,0.03030302984389349,22.0,43.93939393939394,26.375757575757575,29,37,1.5909090909090908,0,4.409090909090909
1,0,0.9999990000010001,0.12499998437500197,4.0,50.0,21.6,4,5,1.5,0,4.5
0,0,0.0,0.0,7.0,42.857142857142854,19.942857142857143,3,4,1.5714285714285714,0,4.285714285714286
2,0,0.99999950000025,0.08333332986111125,8.0,41.66666666666667,19.86666666666667,10,12,1.4583333333333333,0,4.416666666666667
2,0,0.99999950000025,0.14285713265306196,14.0,21.428571428571427,14.171428571428573,3,8,1.4285714285714286,0,4.428571428571429
1,0,0.9999990000010001,0.9999990000010001,1.0,0.0,0.4,0,1,1.0,0,4.0
